respondent_id,age,gender,country,education_level,industry,job_role,years_in_role,company_size,digital_adoption_score,ai_usage_frequency,growth_mindset_score,limiting_beliefs_score,change_resistance_level,training_hours_last_year,leadership_score,team_openness_score,recent_failed_initiatives,positive_feedback_percent,retention_intent,survey_date
1414,31,Female,UK,Bachelor's,Manufacturing,Operations,4,1001+,47.0,Rarely,80.29,21.47,Low,10,16.15,25.84,1,32.85,Unlikely,2024-12-24 04:47:08.279077
1415,28,Female,Australia,Other,IT,Staff,2,51-200,89.71,Occasionally,78.4,12.78,Low,9,61.53,65.12,0,73.81,Likely,2024-08-19 04:47:08.279077
1416,34,Female,France,High School,Consulting,Staff,6,201-1000,79.85,Occasionally,61.5,46.58,Medium,9,53.47,59.59,0,56.43,Likely,2025-07-22 04:47:08.279077
1417,59,Male,France,High School,Healthcare,Staff,2,1-50,70.1,Rarely,61.07,36.24,Medium,11,45.43,37.56,0,42.1,Unlikely,2025-02-08 04:47:08.279077
1418,44,Male,Australia,Bachelor's,Manufacturing,Executive,4,51-200,60.12,Occasionally,52.04,48.48,Medium,31,74.64,65.44,0,57.36,Likely,2024-11-22 04:47:08.279077
1419,24,Female,Japan,Bachelor's,Finance,Manager,2,51-200,39.97,Occasionally,66.0,41.73,Medium,28,36.32,48.84,0,51.61,Likely,2025-03-18 04:47:08.279077
1420,30,Male,USA,Master's,Energy,Staff,4,51-200,44.38,Rarely,85.04,14.44,Low,8,54.44,77.1,4,72.13,Likely,2025-03-18 04:47:08.279077
1421,53,Other,Japan,Master's,Education,Manager,5,51-200,42.06,Daily,28.4,63.9,Medium,27,42.05,23.01,0,29.51,Unlikely,2024-12-01 04:47:08.279077
1422,43,Male,Japan,High School,Education,Technical Specialist,2,1-50,51.68,Rarely,81.52,18.23,Low,7,100.0,100.0,1,100.0,Very Likely,2025-02-04 04:47:08.279077
1423,34,Female,Canada,Bachelor's,Healthcare,Executive,1,1-50,46.66,Often,29.28,75.73,High,24,89.36,69.58,1,63.07,Likely,2024-09-22 04:47:08.279077
1424,57,Female,Germany,High School,Consulting,Staff,5,51-200,79.35,Daily,60.32,42.95,Medium,3,68.65,70.44,2,78.07,Very Likely,2025-07-20 04:47:08.279077
1425,27,Male,UK,Bachelor's,IT,Staff,6,201-1000,55.68,Rarely,84.18,9.96,Low,10,56.97,51.05,0,64.16,Likely,2025-02-07 04:47:08.279077
1426,24,Female,France,Master's,Finance,Technical Specialist,5,1-50,62.88,Rarely,69.78,24.19,Low,10,25.98,7.74,1,40.13,Unlikely,2025-05-08 04:47:08.279077
1427,45,Female,India,Bachelor's,IT,HR,7,51-200,51.85,Rarely,40.69,59.88,Medium,7,28.62,26.01,2,28.9,Unlikely,2025-06-29 04:47:08.279077
1428,37,Female,Brazil,High School,Retail,Staff,2,51-200,41.19,Often,46.62,52.39,Medium,16,46.32,54.51,1,45.32,Unlikely,2025-02-02 04:47:08.279077
1429,25,Male,Japan,High School,Manufacturing,Technical Specialist,4,1-50,51.73,Occasionally,67.38,40.21,Medium,8,52.14,57.96,1,71.28,Likely,2024-09-03 04:47:08.279077
1430,56,Male,Australia,Master's,Energy,Executive,5,1-50,51.62,Occasionally,57.76,59.01,Medium,23,70.06,60.94,0,75.44,Very Likely,2025-02-22 04:47:08.279077
1431,32,Male,Japan,Master's,IT,Technical Specialist,2,51-200,24.52,Occasionally,71.67,27.94,Low,8,53.54,39.08,0,49.18,Unlikely,2024-12-22 04:47:08.279077
1432,47,Male,Australia,Bachelor's,Government,HR,3,51-200,47.31,Occasionally,62.51,40.26,Medium,6,15.61,37.25,1,35.1,Unlikely,2024-11-08 04:47:08.279077
1433,24,Female,UK,High School,Media,Technical Specialist,11,201-1000,50.66,Rarely,59.76,50.42,Medium,14,54.17,27.39,4,40.07,Unlikely,2024-10-04 04:47:08.279077
1434,32,Other,South Africa,Other,Education,Manager,6,1-50,72.78,Often,75.45,16.58,Low,14,69.44,92.35,0,75.29,Very Likely,2025-03-23 04:47:08.279077
1435,36,Female,UK,Bachelor's,Government,Executive,5,51-200,54.81,Rarely,75.53,15.93,Low,26,63.05,65.19,0,75.67,Very Likely,2024-09-18 04:47:08.279077
1436,59,Female,India,Bachelor's,Manufacturing,Staff,6,1001+,52.58,Occasionally,81.96,15.14,Low,6,74.89,72.82,0,59.89,Likely,2025-07-08 04:47:08.279077
1437,51,Female,Germany,Master's,Manufacturing,Manager,2,51-200,72.13,Never,53.27,54.87,Medium,24,84.95,96.97,1,66.71,Likely,2024-11-19 04:47:08.279077
1438,48,Female,Canada,High School,Manufacturing,Staff,3,51-200,34.4,Rarely,79.49,9.86,Low,12,41.91,46.46,0,62.2,Likely,2025-06-27 04:47:08.279077
1439,22,Female,Australia,Bachelor's,Education,Staff,4,201-1000,40.2,Occasionally,67.23,35.76,Medium,10,40.97,60.94,1,47.48,Unlikely,2025-06-26 04:47:08.279077
1440,59,Female,Germany,Master's,Consulting,Manager,4,201-1000,51.94,Never,75.84,13.4,Low,23,40.31,40.21,0,53.65,Likely,2025-06-04 04:47:08.279077
1441,53,Female,Australia,High School,Manufacturing,Technical Specialist,3,51-200,63.08,Often,100.0,17.37,Low,12,26.69,32.37,0,50.1,Likely,2024-08-13 04:47:08.279077
1442,59,Male,Canada,Bachelor's,Government,HR,2,1-50,46.24,Rarely,59.96,23.39,Low,10,38.2,25.18,0,66.97,Likely,2024-08-28 04:47:08.279077
1443,46,Male,UK,Bachelor's,Media,Technical Specialist,6,201-1000,34.22,Daily,54.62,47.73,Medium,6,37.36,47.31,0,58.15,Likely,2025-01-20 04:47:08.279077
1444,32,Female,USA,PhD,Retail,Manager,3,1-50,77.7,Rarely,100.0,0.0,Low,29,69.8,53.26,2,82.36,Very Likely,2024-12-05 04:47:08.279077
1445,52,Female,Germany,Bachelor's,Manufacturing,Staff,2,51-200,68.23,Often,41.44,72.24,High,6,74.05,99.67,0,44.69,Unlikely,2024-10-06 04:47:08.279077
1446,25,Female,Australia,Master's,Education,Manager,2,51-200,64.52,Occasionally,85.48,15.94,Low,29,87.15,91.4,3,100.0,Very Likely,2025-05-19 04:47:08.279077
1447,43,Female,Germany,Bachelor's,Consulting,Staff,3,201-1000,32.69,Occasionally,71.32,27.9,Low,9,9.58,0.0,3,32.38,Unlikely,2024-11-16 04:47:08.279077
1448,38,Male,Germany,Bachelor's,Manufacturing,Technical Specialist,5,1001+,70.24,Occasionally,67.98,33.94,Medium,7,56.83,69.07,3,44.8,Unlikely,2024-09-07 04:47:08.279077
1449,35,Female,Australia,High School,Manufacturing,Staff,6,51-200,52.72,Never,58.34,45.73,Medium,8,69.75,57.52,0,65.58,Likely,2025-05-13 04:47:08.279077
1450,59,Male,Canada,Master's,Government,Staff,4,51-200,51.34,Occasionally,86.22,7.53,Low,9,60.62,76.89,3,74.85,Likely,2024-11-17 04:47:08.279077
1451,47,Female,Canada,High School,Retail,Technical Specialist,2,51-200,78.07,Often,65.33,27.33,Low,7,68.89,51.06,5,62.06,Likely,2025-05-30 04:47:08.279077
1452,52,Female,Brazil,Master's,IT,Manager,6,51-200,60.66,Rarely,21.09,69.07,High,27,75.97,82.0,0,65.08,Likely,2024-11-21 04:47:08.279077
1453,60,Male,Brazil,Bachelor's,Media,Manager,6,201-1000,59.48,Often,65.1,36.14,Medium,25,53.77,37.29,3,70.62,Likely,2024-11-30 04:47:08.279077
1454,32,Female,UK,Master's,Education,Staff,6,1001+,74.01,Often,63.84,38.94,Medium,12,59.53,46.29,1,49.34,Unlikely,2025-01-18 04:47:08.279077
1455,44,Female,France,Bachelor's,Energy,Staff,6,1-50,57.75,Often,56.91,42.35,Medium,10,44.8,21.78,1,48.69,Unlikely,2024-10-17 04:47:08.279077
1456,55,Male,Germany,High School,Finance,Operations,0,201-1000,41.07,Daily,53.35,60.1,Medium,14,50.39,49.44,1,41.73,Unlikely,2025-06-04 04:47:08.279077
1457,46,Female,Germany,Bachelor's,Education,HR,2,51-200,44.01,Rarely,65.57,33.23,Medium,8,9.17,11.33,1,43.94,Unlikely,2024-08-04 04:47:08.279077
1458,57,Female,UK,Bachelor's,Consulting,Manager,4,51-200,38.52,Never,68.3,28.69,Low,23,56.23,37.77,0,71.05,Likely,2024-12-22 04:47:08.279077
1459,26,Other,India,Bachelor's,Retail,Manager,3,51-200,71.1,Often,66.27,29.55,Low,22,69.69,57.86,0,68.11,Likely,2024-10-16 04:47:08.279077
1460,24,Male,UK,Bachelor's,Consulting,Staff,3,51-200,60.6,Often,44.34,49.52,Medium,13,52.55,79.4,4,41.75,Unlikely,2024-10-08 04:47:08.279077
1461,50,Male,France,High School,Education,Operations,2,51-200,17.86,Never,77.6,17.04,Low,7,0.0,27.69,1,38.69,Unlikely,2025-05-06 04:47:08.279077
1462,42,Female,UK,Bachelor's,Manufacturing,Manager,1,201-1000,52.42,Often,81.42,9.84,Low,21,66.23,65.08,3,71.13,Likely,2024-12-09 04:47:08.279077
1463,29,Male,India,High School,Energy,Operations,4,201-1000,46.47,Rarely,8.62,100.0,High,8,43.6,35.63,1,32.31,Unlikely,2024-10-31 04:47:08.279077
1464,51,Other,Canada,High School,Healthcare,Manager,3,201-1000,65.9,Occasionally,47.88,64.12,Medium,20,100.0,99.55,0,66.41,Likely,2024-09-28 04:47:08.279077
1465,49,Male,Germany,PhD,Finance,HR,3,201-1000,86.78,Occasionally,82.18,7.32,Low,14,60.33,45.49,0,73.39,Likely,2025-07-07 04:47:08.279077
1466,58,Female,France,Bachelor's,Media,Technical Specialist,0,1001+,57.71,Daily,71.96,39.53,Medium,12,92.0,90.93,1,60.62,Likely,2024-08-16 04:47:08.279077
1467,50,Female,USA,Master's,IT,HR,4,51-200,82.2,Never,52.54,52.66,Medium,7,21.87,14.9,1,19.81,Very Unlikely,2024-10-09 04:47:08.279077
1468,37,Male,Brazil,High School,Energy,HR,3,201-1000,68.18,Never,68.33,28.68,Low,7,53.96,63.78,2,78.33,Very Likely,2024-08-10 04:47:08.279077
1469,55,Male,South Africa,High School,Finance,Manager,4,1-50,57.69,Occasionally,73.66,21.66,Low,19,62.26,67.38,0,60.79,Likely,2025-02-02 04:47:08.279077
1470,21,Female,UK,Bachelor's,Retail,Technical Specialist,2,51-200,74.74,Never,87.42,3.85,Low,7,93.62,62.66,1,74.55,Likely,2024-12-02 04:47:08.279077
1471,33,Female,Australia,Bachelor's,Retail,Staff,3,1-50,50.03,Daily,57.43,50.38,Medium,9,5.11,20.95,1,30.99,Unlikely,2025-05-31 04:47:08.279077
1472,32,Male,Canada,High School,IT,HR,5,51-200,83.62,Never,66.02,45.55,Medium,12,31.39,35.02,2,48.92,Unlikely,2025-01-15 04:47:08.279077
1473,48,Female,Germany,High School,Consulting,Staff,5,1001+,57.22,Occasionally,31.42,79.65,High,14,0.2,3.05,4,10.91,Very Unlikely,2024-08-11 04:47:08.279077
1474,31,Male,South Africa,High School,Manufacturing,Staff,4,201-1000,75.87,Occasionally,53.08,66.2,High,12,30.18,35.6,0,33.34,Unlikely,2024-10-31 04:47:08.279077
1475,58,Male,Australia,Bachelor's,Government,Technical Specialist,3,1001+,76.28,Rarely,73.21,22.66,Low,9,43.33,30.44,1,64.29,Likely,2024-12-16 04:47:08.279077
1476,21,Female,India,Master's,Energy,Manager,1,201-1000,27.31,Never,91.43,11.15,Low,34,55.44,40.8,0,59.99,Likely,2024-08-29 04:47:08.279077
1477,51,Male,UK,Bachelor's,Media,Technical Specialist,4,1001+,43.75,Often,78.18,34.93,Medium,11,50.43,33.0,0,66.21,Likely,2024-10-06 04:47:08.279077
1478,32,Female,Brazil,Bachelor's,Finance,Manager,3,201-1000,67.1,Often,50.9,44.56,Medium,26,35.5,21.65,2,55.52,Likely,2025-03-06 04:47:08.279077
1479,46,Male,Brazil,High School,Government,Executive,4,1-50,79.9,Rarely,66.83,37.79,Medium,22,100.0,100.0,0,65.37,Likely,2025-04-29 04:47:08.279077
1480,60,Male,USA,Master's,IT,Staff,6,51-200,70.86,Often,79.87,21.8,Low,12,58.63,65.02,0,69.22,Likely,2024-09-30 04:47:08.279077
1481,36,Male,South Africa,High School,Healthcare,Technical Specialist,6,201-1000,46.71,Daily,55.08,46.75,Medium,10,68.14,72.76,4,53.6,Likely,2024-09-04 04:47:08.279077
1482,59,Female,Brazil,Bachelor's,Manufacturing,Staff,9,51-200,40.07,Daily,76.08,21.36,Low,8,49.78,63.0,1,60.31,Likely,2025-04-03 04:47:08.279077
1483,50,Female,India,High School,Healthcare,Operations,6,51-200,58.36,Occasionally,53.61,36.55,Medium,9,16.5,36.1,1,17.21,Very Unlikely,2025-03-20 04:47:08.279077
1484,53,Female,South Africa,Bachelor's,Consulting,Manager,3,1-50,62.42,Occasionally,58.99,47.1,Medium,24,51.91,55.48,3,66.18,Likely,2025-02-04 04:47:08.279077
1485,43,Male,South Africa,Master's,Government,Staff,3,1001+,80.93,Often,58.81,41.34,Medium,9,27.73,1.58,0,50.78,Likely,2025-04-22 04:47:08.279077
1486,54,Male,Brazil,Bachelor's,Healthcare,Staff,0,1-50,47.45,Occasionally,61.5,43.51,Medium,8,37.58,30.98,0,49.53,Unlikely,2025-06-02 04:47:08.279077
1487,25,Female,South Africa,PhD,Government,Executive,2,1001+,60.38,Often,81.79,8.0,Low,24,45.27,33.64,0,51.17,Likely,2024-09-27 04:47:08.279077
1488,38,Male,Germany,Master's,Finance,Executive,3,1-50,38.93,Daily,40.16,68.7,High,22,33.43,62.98,2,34.14,Unlikely,2025-03-22 04:47:08.279077
1489,49,Female,USA,High School,Healthcare,Executive,6,51-200,59.74,Occasionally,82.11,20.72,Low,23,31.37,33.06,0,51.05,Likely,2025-04-17 04:47:08.279077
1490,26,Male,Brazil,Bachelor's,Government,Staff,4,51-200,60.15,Often,78.14,30.7,Low,9,60.64,26.34,1,76.8,Very Likely,2024-11-24 04:47:08.279077
1491,29,Female,Germany,PhD,Energy,Technical Specialist,3,1-50,66.38,Often,77.21,21.49,Low,7,45.5,48.22,3,77.98,Very Likely,2025-06-13 04:47:08.279077
1492,60,Male,USA,High School,Education,Technical Specialist,3,201-1000,37.12,Often,67.34,38.66,Medium,10,58.81,77.11,3,73.52,Likely,2024-08-25 04:47:08.279077
1493,51,Female,Canada,Master's,Media,Staff,5,1-50,71.39,Rarely,55.87,41.89,Medium,14,95.35,100.0,0,51.71,Likely,2025-07-06 04:47:08.279077
1494,53,Male,USA,PhD,Consulting,Manager,3,1-50,51.27,Daily,51.77,52.16,Medium,35,48.88,23.83,0,59.69,Likely,2025-04-26 04:47:08.279077
1495,47,Male,Japan,Master's,Retail,Executive,5,1-50,64.54,Often,53.27,52.57,Medium,16,79.66,81.07,0,54.13,Likely,2025-01-04 04:47:08.279077
1496,34,Male,South Africa,Master's,Manufacturing,Manager,3,51-200,90.56,Often,43.39,53.28,Medium,21,74.38,89.34,1,72.66,Likely,2025-03-25 04:47:08.279077
1497,49,Male,India,Master's,Healthcare,Staff,7,51-200,66.44,Never,87.13,10.93,Low,11,67.12,47.88,0,82.67,Very Likely,2025-06-28 04:47:08.279077
1498,56,Male,Brazil,Bachelor's,Retail,Staff,2,201-1000,47.02,Occasionally,62.71,38.99,Medium,8,56.76,66.86,1,39.77,Unlikely,2024-08-18 04:47:08.279077
1499,48,Female,Canada,Bachelor's,Media,Manager,4,51-200,57.56,Often,56.82,54.04,Medium,31,63.62,70.61,0,60.22,Likely,2024-09-03 04:47:08.279077
1500,41,Female,Japan,High School,Education,Operations,2,51-200,49.24,Often,73.77,26.28,Low,8,37.84,3.66,0,57.12,Likely,2025-04-05 04:47:08.279077
1501,23,Female,India,Master's,Government,Staff,5,1-50,74.29,Often,63.54,42.89,Medium,9,49.38,93.13,0,50.6,Likely,2025-02-24 04:47:08.279077
1502,39,Female,UK,PhD,Government,Manager,3,1-50,41.65,Daily,49.01,47.88,Medium,22,20.01,46.52,0,46.24,Unlikely,2025-03-09 04:47:08.279077
1503,51,Female,India,Bachelor's,Government,Staff,5,51-200,77.51,Daily,69.45,23.38,Low,14,50.4,53.11,0,60.21,Likely,2025-07-20 04:47:08.279077
1504,55,Male,South Africa,Bachelor's,Media,Manager,5,201-1000,71.82,Often,93.43,7.52,Low,24,68.95,81.34,1,84.01,Very Likely,2024-09-27 04:47:08.279077
1505,23,Female,Germany,Bachelor's,Finance,Staff,3,51-200,49.6,Never,84.77,6.64,Low,11,46.75,68.94,1,74.78,Likely,2025-04-11 04:47:08.279077
1506,46,Male,USA,Master's,Consulting,Manager,4,51-200,70.7,Rarely,80.55,19.0,Low,21,48.14,60.54,2,50.17,Likely,2025-08-02 04:47:08.279077
1507,36,Female,UK,High School,Finance,Executive,3,201-1000,41.47,Never,60.12,31.23,Low,28,46.53,41.71,0,63.57,Likely,2025-03-18 04:47:08.279077
1508,31,Male,USA,Bachelor's,IT,Staff,1,201-1000,69.41,Rarely,74.31,32.32,Low,9,76.46,88.47,2,72.64,Likely,2024-09-09 04:47:08.279077
1509,41,Male,South Africa,PhD,Energy,Staff,3,201-1000,47.18,Often,58.26,33.19,Medium,10,21.44,28.46,1,25.76,Unlikely,2024-09-13 04:47:08.279077
1510,36,Female,Brazil,High School,Retail,Manager,5,201-1000,99.55,Rarely,46.57,57.3,Medium,26,81.0,100.0,1,76.71,Very Likely,2025-01-14 04:47:08.279077
1511,29,Male,Canada,PhD,Finance,Technical Specialist,6,51-200,50.26,Rarely,77.1,14.53,Low,10,63.23,47.97,1,65.63,Likely,2025-06-10 04:47:08.279077
1512,20,Female,UK,PhD,Education,Manager,5,1-50,75.88,Never,40.37,63.51,Medium,24,63.02,53.55,1,49.96,Unlikely,2024-10-17 04:47:08.279077
1513,41,Female,Brazil,PhD,IT,Technical Specialist,3,1001+,58.42,Occasionally,62.59,43.94,Medium,15,67.83,80.04,0,63.36,Likely,2024-09-05 04:47:08.279077
1514,45,Male,Japan,Bachelor's,Government,Manager,4,201-1000,54.39,Often,67.9,31.0,Low,20,85.7,94.88,0,50.31,Likely,2024-10-06 04:47:08.279077
1515,37,Male,Brazil,Bachelor's,IT,Manager,4,1-50,57.28,Never,96.93,5.12,Low,21,86.55,92.73,2,87.07,Very Likely,2024-12-21 04:47:08.279077
1516,33,Female,Australia,Master's,Consulting,Manager,4,51-200,77.95,Rarely,76.54,11.29,Low,22,84.77,62.79,0,76.35,Very Likely,2025-06-18 04:47:08.279077
1517,48,Female,UK,Bachelor's,Education,Manager,4,51-200,51.46,Occasionally,50.66,43.52,Medium,28,89.11,88.92,1,59.04,Likely,2025-06-23 04:47:08.279077
1518,31,Male,Brazil,High School,Education,Operations,5,1001+,70.94,Daily,93.35,10.0,Low,5,65.02,75.51,0,81.93,Very Likely,2025-05-29 04:47:08.279077
1519,55,Female,Germany,PhD,Healthcare,Manager,6,1-50,47.69,Never,50.63,42.21,Medium,26,46.08,39.52,1,44.63,Unlikely,2025-05-10 04:47:08.279077
1520,54,Female,Germany,Bachelor's,Finance,Staff,6,1-50,46.64,Often,59.14,40.23,Medium,17,37.52,47.23,1,32.77,Unlikely,2025-08-02 04:47:08.279077
1521,31,Male,Japan,High School,Retail,Technical Specialist,2,201-1000,64.76,Rarely,53.51,47.61,Medium,8,13.52,0.0,0,18.06,Very Unlikely,2025-01-16 04:47:08.279077
1522,26,Male,USA,High School,Manufacturing,Staff,3,201-1000,85.02,Occasionally,53.0,39.94,Medium,12,59.43,76.31,1,53.58,Likely,2025-02-14 04:47:08.279077
1523,48,Female,France,Master's,Energy,Executive,4,51-200,47.14,Occasionally,54.14,47.19,Medium,29,70.36,56.99,0,64.61,Likely,2025-06-04 04:47:08.279077
1524,30,Male,Brazil,Master's,Manufacturing,Technical Specialist,4,51-200,82.02,Never,90.39,6.28,Low,16,33.1,20.73,0,60.85,Likely,2025-05-01 04:47:08.279077
1525,52,Female,South Africa,Bachelor's,Retail,Manager,2,1001+,40.79,Rarely,71.37,33.47,Medium,26,61.27,73.81,0,80.58,Very Likely,2024-12-31 04:47:08.279077
1526,25,Male,UK,High School,Finance,HR,4,51-200,20.41,Occasionally,81.95,19.12,Low,7,67.85,68.91,0,80.91,Very Likely,2025-03-23 04:47:08.279077
1527,34,Female,Brazil,Bachelor's,Finance,Staff,5,51-200,32.02,Rarely,85.72,26.18,Low,10,67.81,77.01,0,77.28,Very Likely,2025-04-18 04:47:08.279077
1528,51,Female,USA,Bachelor's,Energy,Staff,10,1-50,59.46,Often,59.79,32.38,Low,10,64.49,56.87,1,42.69,Unlikely,2025-06-08 04:47:08.279077
1529,30,Female,Brazil,High School,Energy,Operations,1,1-50,66.36,Often,71.17,37.42,Medium,10,40.8,65.39,1,30.84,Unlikely,2025-03-11 04:47:08.279077
1530,42,Male,France,Bachelor's,Manufacturing,HR,3,1001+,89.15,Often,69.73,44.66,Medium,5,41.88,44.58,1,44.45,Unlikely,2024-09-22 04:47:08.279077
1531,45,Male,Canada,Bachelor's,Retail,Technical Specialist,9,1-50,48.05,Often,51.14,62.99,Medium,9,47.54,40.59,0,50.8,Likely,2025-07-28 04:47:08.279077
1532,53,Female,France,Bachelor's,Finance,Staff,2,201-1000,63.9,Occasionally,52.17,52.24,Medium,6,28.99,35.37,2,38.25,Unlikely,2024-09-30 04:47:08.279077
1533,53,Male,South Africa,Master's,Government,Manager,7,1-50,56.09,Often,65.66,36.82,Medium,16,41.76,36.67,5,57.39,Likely,2025-07-04 04:47:08.279077
1534,48,Male,France,Bachelor's,Consulting,Technical Specialist,1,1001+,45.53,Occasionally,68.65,25.09,Low,10,97.68,100.0,1,82.64,Very Likely,2025-07-02 04:47:08.279077
1535,23,Female,South Africa,PhD,Media,Executive,3,51-200,37.59,Often,68.51,42.33,Medium,21,63.61,57.72,0,63.81,Likely,2025-05-12 04:47:08.279077
1536,36,Male,USA,Master's,Retail,HR,2,201-1000,72.3,Daily,67.45,34.61,Medium,10,33.68,56.01,0,48.33,Unlikely,2024-11-21 04:47:08.279077
1537,54,Male,UK,Bachelor's,Finance,Technical Specialist,6,1-50,65.27,Often,58.04,42.1,Medium,7,84.69,58.86,0,55.51,Likely,2025-03-11 04:47:08.279077
1538,32,Male,France,High School,Retail,Technical Specialist,5,201-1000,51.14,Rarely,72.18,32.77,Low,6,31.57,40.09,0,31.97,Unlikely,2025-03-22 04:47:08.279077
1539,60,Female,Germany,Master's,Consulting,Staff,4,51-200,68.81,Occasionally,59.77,41.0,Medium,10,51.41,48.38,1,56.99,Likely,2024-11-27 04:47:08.279077
1540,58,Female,Japan,PhD,Energy,Executive,6,1001+,77.62,Occasionally,78.74,19.02,Low,31,87.19,95.09,0,87.58,Very Likely,2025-03-02 04:47:08.279077
1541,34,Male,France,Bachelor's,IT,Technical Specialist,4,1-50,73.81,Occasionally,43.92,53.65,Medium,8,34.62,36.44,1,42.15,Unlikely,2025-01-23 04:47:08.279077
1542,48,Male,UK,Bachelor's,Retail,Operations,2,51-200,33.72,Occasionally,61.63,29.23,Low,11,47.85,60.91,0,50.53,Likely,2025-03-23 04:47:08.279077
1543,48,Male,USA,Bachelor's,IT,HR,4,51-200,74.41,Never,59.16,55.56,Medium,10,78.27,98.42,3,65.22,Likely,2025-02-23 04:47:08.279077
1544,30,Female,Germany,High School,Retail,Technical Specialist,4,1-50,51.25,Rarely,66.81,38.3,Medium,9,67.3,77.87,0,81.64,Very Likely,2025-03-03 04:47:08.279077
1545,51,Male,South Africa,Bachelor's,Energy,Staff,6,51-200,83.76,Occasionally,74.92,29.38,Low,12,41.96,0.51,0,54.27,Likely,2024-09-20 04:47:08.279077
1546,21,Female,Germany,High School,Manufacturing,Manager,6,1-50,53.9,Rarely,69.11,30.08,Low,19,20.97,9.14,0,29.87,Unlikely,2025-01-10 04:47:08.279077
1547,33,Male,France,High School,Healthcare,HR,4,51-200,64.33,Rarely,44.68,50.58,Medium,10,65.54,77.89,0,60.72,Likely,2025-03-09 04:47:08.279077
1548,39,Prefer not to say,USA,Bachelor's,Healthcare,Manager,4,201-1000,62.19,Often,50.07,49.32,Medium,22,26.03,13.89,0,43.5,Unlikely,2025-01-10 04:47:08.279077
1549,41,Male,South Africa,Master's,Manufacturing,Manager,1,1-50,59.78,Often,77.99,13.05,Low,25,61.84,58.27,0,71.69,Likely,2025-07-09 04:47:08.279077
1550,30,Female,India,Master's,Healthcare,Technical Specialist,5,1001+,73.79,Daily,53.57,57.89,Medium,13,29.13,43.13,1,48.65,Unlikely,2024-12-11 04:47:08.279077
1551,46,Male,Australia,PhD,Media,Technical Specialist,3,51-200,87.13,Often,80.96,21.7,Low,12,72.9,69.08,1,87.57,Very Likely,2025-02-10 04:47:08.279077
1552,22,Male,Brazil,Bachelor's,Manufacturing,Executive,3,1001+,74.2,Often,55.76,49.27,Medium,29,55.64,33.97,0,63.89,Likely,2024-10-20 04:47:08.279077
1553,36,Female,Canada,Bachelor's,IT,Manager,5,1001+,59.08,Daily,72.7,29.26,Low,27,30.87,31.54,1,49.06,Unlikely,2025-07-20 04:47:08.279077
1554,47,Female,UK,Master's,Manufacturing,Technical Specialist,3,51-200,72.78,Daily,51.19,59.61,Medium,10,46.87,53.8,0,47.1,Unlikely,2025-04-02 04:47:08.279077
1555,48,Male,UK,Bachelor's,IT,HR,7,1-50,97.71,Rarely,64.13,38.81,Medium,4,29.27,29.9,0,39.03,Unlikely,2024-09-06 04:47:08.279077
1556,40,Female,UK,High School,Energy,Manager,5,201-1000,46.96,Rarely,43.09,58.75,Medium,28,61.32,77.87,0,55.71,Likely,2024-09-18 04:47:08.279077
1557,35,Female,India,Bachelor's,Energy,Technical Specialist,5,1001+,74.07,Occasionally,75.03,19.47,Low,9,48.16,49.83,0,34.32,Unlikely,2024-09-15 04:47:08.279077
1558,56,Female,USA,PhD,Healthcare,Staff,5,1001+,74.35,Rarely,51.08,56.81,Medium,12,59.05,78.26,0,66.97,Likely,2024-09-19 04:47:08.279077
1559,39,Male,Germany,High School,Manufacturing,Staff,3,201-1000,39.86,Daily,88.55,13.43,Low,12,32.47,9.07,0,59.52,Likely,2025-03-12 04:47:08.279077
1560,25,Female,South Africa,High School,Manufacturing,HR,3,1-50,73.83,Often,61.87,47.04,Medium,11,43.18,33.74,0,46.77,Unlikely,2024-09-21 04:47:08.279077
1561,38,Female,Germany,Bachelor's,Media,Staff,7,51-200,92.77,Rarely,65.43,29.35,Low,13,72.19,62.66,2,44.7,Unlikely,2025-02-09 04:47:08.279077
1562,24,Male,Germany,PhD,Retail,Staff,5,51-200,86.57,Rarely,82.63,11.18,Low,12,59.92,75.92,1,56.5,Likely,2024-10-08 04:47:08.279077
1563,22,Female,Canada,High School,Healthcare,Staff,1,1001+,48.5,Often,81.19,35.12,Medium,7,16.28,27.78,0,30.97,Unlikely,2025-05-14 04:47:08.279077
1564,20,Male,UK,Bachelor's,Government,Staff,4,51-200,59.62,Occasionally,76.8,25.92,Low,3,72.45,41.95,1,61.92,Likely,2024-09-02 04:47:08.279077
1565,57,Male,UK,High School,Manufacturing,Staff,0,1001+,54.9,Occasionally,78.84,6.33,Low,8,52.9,80.96,1,81.72,Very Likely,2025-05-30 04:47:08.279077
1566,34,Female,India,Bachelor's,Government,Staff,6,51-200,71.07,Often,87.13,22.07,Low,11,57.37,70.74,2,59.35,Likely,2025-05-17 04:47:08.279077
1567,53,Female,Germany,Bachelor's,Finance,HR,2,1-50,81.14,Rarely,70.97,36.45,Medium,10,39.28,35.53,0,45.71,Unlikely,2025-05-17 04:47:08.279077
1568,54,Male,Canada,High School,Government,Staff,3,1-50,81.33,Never,76.85,15.0,Low,10,36.79,49.73,0,58.37,Likely,2025-01-18 04:47:08.279077
1569,44,Male,Australia,PhD,Consulting,Technical Specialist,1,1-50,51.03,Often,63.46,34.7,Medium,12,58.75,67.33,1,63.33,Likely,2025-07-12 04:47:08.279077
